37.7749, -122.4194
34.0522, -118.2437
40.7128, -74.0060
41.8781, -87.6298
29.7604, -95.3698
51.5074, -0.1278
52.5200, 13.4050
48.8566, 2.3522
55.7558, 37.6176
34.6844, 135.5035
19.4326, -99.1332
45.4215, -75.6919
52.2297, 21.0122
51.1657, 10.4515
48.4284, -123.3656
55.6761, 12.5683
36.7783, -119.4179
32.7157, -117.1611
33.6844, -117.8265
41.2865, 174.7762
-33.8688, 151.2093
48.1351, 11.5820
38.8951, -77.0364
52.3667, 4.8945
40.7128, -74.0060
37.3541, -121.9552
34.0522, -118.2437
41.8781, -87.6298
29.7604, -95.3698
51.5074, -0.1278
52.5200, 13.4050
48.8566, 2.3522
55.7558, 37.6176
34.6844, 135.5035
19.4326, -99.1332
45.4215, -75.6919
52.2297, 21.0122
51.1657, 10.4515
48.4284, -123.3656
55.6761, 12.5683
36.7783, -119.4179
32.7157, -117.1611
33.6844, -117.8265
41.2865, 174.7762
-33.8688, 151.2093
48.1351, 11.5820
38.8951, -77.0364
52.3667, 4.8945
40.7128, -74.0060
37.3541, -121.9552
